name,code,pe
申华控股,"600653",75.214
飞乐音响,"600651",27.69
锦江投资,"600650",34.535
城投控股,"600649",13.8
外高桥,"600648",29.328
同达创业,"600647",29.432
申能股份,"600642",11.22
万业企业,"600641",14.217
浦东金桥,"600639",30.792
新黄浦,"600638",83.407
东方明珠,"600637",15.63
大众公用,"600635",20.864
浙数文化,"600633",30.192
华建集团,"600629",22.059
申达股份,"600626",28.127
复旦复华,"600624",120.714
光大嘉宝,"600622",39.231
天宸股份,"600620",115.0
海立股份,"600619",55.65
国新能源,"600617",21.693
金枫酒业,"600616",69.615
神奇制药,"600613",24.412
老凤祥,"600612",22.013
大众交通,"600611",21.167
汇通能源,"600605",82.321
市北高新,"600604",38.0
广汇物流,"600603",9.634
云赛智联,"600602",38.492
方正科技,"600601",117.391
青岛啤酒,"600600",50.44
北大荒,"600598",29.565
光明乳业,"600597",31.391
益佰制药,"600594",21.193
大连圣亚,"600593",82.89
龙溪股份,"600592",62.395
泰豪科技,"600590",53.263
广东榕泰,"600589",44.0
海螺水泥,"600585",21.13
海油工程,"600583",24.133
天地科技,"600582",22.133
卧龙电气,"600580",41.981
京能电力,"600578",13.357
精达股份,"600577",35.091
祥源文化,"600576",42.235
皖江物流,"600575",33.75
康恩贝,"600572",39.389
信雅达,"600571",39.464
中珠医疗,"600568",15.846
济川药业,"600566",35.803
迪马股份,"600565",13.212
国睿科技,"600562",42.918
金自天正,"600560",113.626
大西洋,"600558",112.525
康缘药业,"600557",22.18
凯盛科技,"600552",37.107
时代出版,"600551",15.68
保变电气,"600550",94.93
深高速,"600548",16.884
山东黄金,"600547",40.935
山煤国际,"600546",35.0
亿晶光电,"600537",14.968
天士力,"600535",33.119
栖霞建设,"600533",26.115
豫光金铅,"600531",34.1
交大昂立,"600530",34.261
山东药玻,"600529",27.446
中铁工业,"600528",109.304
菲达环保,"600526",117.5
长园集团,"600525",28.774
贵航股份,"600523",27.433
中天科技,"600522",19.605
华海药业,"600521",54.388
贵州茅台,"600519",55.754
康美药业,"600518",30.81
置信电气,"600517",17.314
联环药业,"600513",30.138
腾达建设,"600512",64.571
黑牡丹,"600510",19.914
天富能源,"600509",19.486
西昌电力,"600505",45.738
华丽家族,"600503",77.985
科达洁能,"600499",46.558
烽火通信,"600498",37.795
精工钢构,"600496",57.655
凤竹纺织,"600493",39.007
龙元建设,"600491",35.357
中金黄金,"600489",88.909
天药股份,"600488",74.545
