name,code,pe,industry
开能健康,300272,57.667,NULL
中威电子,300270,50.765,NULL
联建光电,300269,42.467,NULL
兴源环境,300266,11.857,NULL
星星科技,300256,39.0,NULL
金信诺,300252,28.483,NULL
依米康,300249,30.956,NULL
宝莱特,300246,34.653,NULL
佳云科技,300242,18.0,NULL
瑞丰光电,300241,10.323,NULL
飞力达,300240,38.45,NULL
冠昊生物,300238,66.0,NULL
洲明科技,300232,20.234,NULL
银信科技,300231,20.071,NULL
拓尔思,300229,30.212,NULL
富瑞特装,300228,50.691,NULL
光韵达,300227,23.952,NULL
金力泰,300225,49.406,NULL
东方电热,300217,36.947,NULL
日科化学,300214,20.522,NULL
佳讯飞鸿,300213,29.4,NULL
森远股份,300210,41.636,NULL
翰宇药业,300199,36.111,NULL
佳士科技,300193,19.828,NULL
美亚柏科,300188,31.125,NULL
力源信息,300184,18.209,NULL
四方达,300179,32.894,NULL
鸿特科技,300176,15.071,NULL
汉得信息,300170,29.132,NULL
东方国信,300166,34.0,NULL
天瑞仪器,300165,23.045,NULL
华中数控,300161,61.356,NULL
秀强股份,300160,26.469,NULL
神雾环保,300156,16.667,NULL
瑞凌股份,300154,30.0,NULL
科融环境,300152,55.2,NULL
天舟文化,300148,27.604,NULL
汤臣倍健,300146,39.192,NULL
宋城演艺,300144,34.342,NULL
星普医科,300143,20.628,NULL
中环装备,300140,37.045,NULL
先河环保,300137,17.145,NULL
宝利国际,300135,64.878,NULL
青松股份,300132,46.517,NULL
泰胜风能,300129,16.381,NULL
锦富技术,300128,65.306,NULL
阳谷华泰,300121,18.361,NULL
顺网科技,300113,21.784,NULL
达刚路机,300103,44.162,NULL
高新兴,300098,19.632,NULL
智云股份,300097,27.371,NULL
金通灵,300091,44.895,NULL
文化长城,300089,37.0,NULL
康芝药业,300086,61.076,NULL
恒信东方,300081,53.732,NULL
思创医惠,300078,53.0,NULL
数字政通,300075,29.548000000000002,NULL
华平股份,300074,55.172,NULL
当升科技,300073,43.167,NULL
南都电源,300068,26.979,NULL
海兰信,300065,47.483,NULL
豫金刚石,300064,27.088,NULL
康旗股份,300061,12.702,NULL
蓝色光标,300058,53.4,NULL
欧比特,300053,55.825,NULL
中青宝,300052,53.316,NULL
三五互联,300051,41.167,NULL
福瑞股份,300049,37.704,NULL
天源迪科,300047,34.5,NULL
台基股份,300046,36.881,NULL
赛为智能,300044,13.56,NULL
梅泰诺,300038,6.926,NULL
新宙邦,300037,33.453,NULL
超图软件,300036,46.818,NULL
中科电气,300035,59.416,NULL
华谊兄弟,300027,19.133,NULL
宝德股份,300023,52.0,NULL
大禹节水,300021,33.125,NULL
银江股份,300020,39.476,NULL
网宿科技,300017,28.529,NULL
北陆药业,300016,29.25,NULL
亿纬锂能,300014,31.511,NULL
鼎汉技术,300011,55.556,NULL
立思辰,300010,41.96,NULL
天海防务,300008,22.339,NULL
汉威科技,300007,29.237,NULL
莱美药业,300006,63.382,NULL
南风股份,300004,63.333,NULL
明德生物,002932,66.351,NULL
锋龙股份,002931,54.986,NULL
宏川智慧,002930,66.686,NULL
润建通信,002929,23.903,NULL
华夏航空,002928,24.5,NULL
泰永长征,002927,31.121,NULL
华西证券,002926,19.204,NULL
盈趣科技,002925,19.459,NULL
润都股份,002923,21.554,NULL
伊戈尔,002922,31.835,NULL
联诚精密,002921,42.025,NULL
德赛西威,002920,17.81,NULL
名臣健康,002919,44.304,NULL
